[Line 385] [Output:5553]: [PART] Workspace.Map.IslandCloud.Fragmentable.Tallgrass.TallGrass | Size: 42, 3, 88
[Line 386] [Output:5553]: [PART] Workspace.Map.IslandCloud.Fragmentable.Tallgrass.TallGrass | Size: 39, 3, 41
[Line 387] [Output:5553]: [PART] Workspace.Map.IslandCloud.Fragmentable.Part | Size: 65, 1, 110
[Line 388] [Output:5553]: [PART] Workspace.Map.IslandCloud.CloudShores.CloudShore | Size: 88, 65, 59.99979019165039
[Line 389] [Output:5553]: [PART] Workspace.Map.IslandCloud.CloudShores.CloudShore | Size: 77, 58, 87.99978637695312
[Line 556] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.GunpowderSpawns.Imbued Gunpowder Barrel | Size: 2.5, 3, 2.5
[Line 557] [Output:5553]: [PART] Workspace.Map.Frostmill_Surrounding.GunpowderSpawns.Gunpowder Barrel | Size: 2.5, 3, 2.5
[Line 580] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 581] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 582] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 583] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 584] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 585] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 586] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 587] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 588] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 589] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 590] [Output:5553]: [PART] Workspace.Map.EnemySpawns.Part | Size: 1, 1, 1
[Line 668] [Output:5553]: [PART] Workspace.Map.SeaContent.HuntSpawns.HuntPos | Size: 4, 6, 1
[Line 669] [Output:5553]: [PART] Workspace.Map.SeaContent.HuntSpawns.HuntPos | Size: 4, 6, 1
[Line 670] [Output:5553]: [PART] Workspace.Map.SeaContent.HuntSpawns.HuntPos | Size: 4, 6, 1
[Line 671] [Output:5553]: [PART] Workspace.Map.SeaContent.HuntSpawns.HuntPos | Size: 4, 6, 1
[Line 672] [Output:5553]: [PART] Workspace.Map.SeaContent.HuntSpawns.HuntPos | Size: 4, 6, 1
[Line 673] [Output:5553]: [PART] Workspace.Map.SeaContent.HuntSpawns.HuntPos | Size: 4, 6, 1
[Line 674] [Output:5553]: [PART] Workspace.Map.SeaContent.HuntSpawns.HuntPos | Size: 4, 6, 1
[Line 675] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 676] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 677] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 678] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 679] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 680] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 681] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 682] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 683] [Output:5553]: [PART] Workspace.Map.SeaContent.TravelerSpawns.TravelerPos | Size: 4, 6, 1
[Line 684] [Output:5553]: [PART] Workspace.Map.SeaContent.NPCLocations.NPCLocation | Size: 30, 1, 30
[Line 685] [Output:5553]: [PART] Workspace.Map.SeaContent.NPCLocations.NPCLocation | Size: 30, 1, 30
[Line 686] [Output:5553]: [PART] Workspace.Map.SeaContent.NPCLocations.NPCLocation | Size: 30, 1, 30
[Line 687] [Output:5553]: [PART] Workspace.Map.SeaContent.CazalSpawns.CazalPos | Size: 4, 6, 1
[Line 796] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.CrateGroup.Crate | Size: 5, 5, 5
[Line 797] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.CrateGroup.Crate | Size: 5, 5, 5
[Line 798] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.CrateGroup.Crate | Size: 5, 5, 5
[Line 799] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.SmallBanner.Part | Size: 29.94695472717285, 0.6000000238418579, 0.6000000238418579
[Line 800] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Crate | Size: 5, 5, 5
[Line 801] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Barrel | Size: 4, 5, 4
[Line 802] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Barrel | Size: 4, 5, 4
[Line 803] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Barrel | Size: 4, 5, 4
[Line 804] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Barrel | Size: 4, 5, 4
[Line 805] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 7.151301860809326, 0.4000000059604645
[Line 806] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.Part | Size: 94, 2, 49
[Line 807] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Corner | Size: 23.5, 7, 7
[Line 808] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Builder2Pos | Size: 4, 6, 1
[Line 809] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.CrateGroup.Crate | Size: 5, 5, 5
[Line 810] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.CrateGroup.Crate | Size: 5, 5, 5
[Line 811] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.SmallBanner.Cloth | Size: 6.289904594421387, 9.14895248413086, 0.11436190456151962
[Line 812] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.SmallBanner.Part | Size: 6.8617143630981445, 0.5718095302581787, 0.5718095302581787
[Line 813] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Part0 | Size: 1, 0.5, 0.5
[Line 814] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Barrel | Size: 4, 5, 4
[Line 815] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Part0 | Size: 1, 0.5, 0.5
[Line 816] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 7.151301860809326, 0.4000000059604645
[Line 817] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 25, 1, 2
[Line 818] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 25, 1, 6
[Line 819] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 25, 1, 10
[Line 820] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 25, 1, 14
[Line 821] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 2, 0.4000000059604645
[Line 822] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.Part | Size: 36.9246826171875, 7.5, 2.9997129440307617
[Line 823] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.Part | Size: 90.9917221069336, 7.5, 2.9997129440307617
[Line 824] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.Part | Size: 89.92769622802734, 14.050276756286621, 0.9996371269226074
[Line 825] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.Part | Size: 89.92769622802734, 8.662216186523438, 0.9996371269226074
[Line 826] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Corner | Size: 22.5, 7, 7
[Line 827] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Builder3Pos | Size: 4, 6, 1
[Line 828] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.CrateGroup.Crate | Size: 5, 5, 5
[Line 829] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.CrateGroup.Crate | Size: 5, 5, 5
[Line 830] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Crate | Size: 5, 5, 5
[Line 831] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Barrel | Size: 4, 5, 4
[Line 832] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Decoration.Part0 | Size: 1, 0.5, 0.5
[Line 833] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 2, 0.4000000059604645
[Line 834] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 1.2088745832443237, 0.4000000059604645
[Line 835] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 1.2088745832443237, 0.4000000059604645
[Line 836] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 25, 1, 10
[Line 837] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 1.2088745832443237, 0.4000000059604645
[Line 838] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.WoodPile.Fragmentable | Size: 0.4000000059604645, 7.151301860809326, 0.4000000059604645
[Line 839] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.Part | Size: 90.00542449951172, 7.5, 2.9997129440307617
[Line 840] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Fragmentable.Part | Size: 89.92769622802734, 8.662216186523438, 0.9996371269226074
[Line 841] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Corner | Size: 19.5, 7, 7
[Line 842] [Output:5553]: [PART] Workspace.Map.SeaContent.EnemyTowerSpawns.Tower.Builder1Pos | Size: 4, 6, 1
