[Line 135] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.RightLowerArm | Size: 0.8137836456298828, 0.9094314575195312, 0.8621160984039307
[Line 136] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.LeftLowerLeg | Size: 0.710610032081604, 0.9041048288345337, 0.8819679617881775
[Line 137] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.RightUpperLeg | Size: 0.6673920750617981, 1.3174556493759155, 0.8240075707435608
[Line 138] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.UpperTorso | Size: 1.9974559545516968, 1.837510585784912, 1.1106884479522705
[Line 139] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.Head | Size: 2, 1, 1
[Line 140] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.Hair1 | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 141] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.LeftUpperArm | Size: 0.6641272306442261, 1.0686529874801636, 0.8128907680511475
[Line 142] [Output:5553]: [PART] Workspace.NPCs.Tucker.Tucker.LeftFoot | Size: 0.7912912964820862, 0.44856202602386475, 1.1945922374725342
[Line 143] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.LowerTorso | Size: 1.6519598960876465, 0.5001040697097778, 0.9984074234962463
[Line 144] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.LeftUpperArm | Size: 0.6641272306442261, 1.0686529874801636, 0.8128907680511475
[Line 145] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.RightUpperLeg | Size: 0.6673920750617981, 1.3174556493759155, 0.8240075707435608
[Line 146] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.RightHand | Size: 0.7627725601196289, 0.9388239979743958, 0.7475496530532837
[Line 147] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.RightLowerLeg | Size: 0.7106100916862488, 0.9041049480438232, 0.8819680213928223
[Line 148] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.RightLowerArm | Size: 0.8137836456298828, 0.9094314575195312, 0.8621160984039307
[Line 149] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.Hair1 | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 150] [Output:5553]: [PART] Workspace.NPCs.Morden.Morden.LeftUpperLeg | Size: 0.6673920750617981, 1.3174556493759155, 0.8240074515342712
[Line 151] [Output:5553]: [PART] Workspace.NPCs.Edward KentonQ.Edward KentonQ.UpperTorso | Size: 1.9974559545516968, 1.837510585784912, 1.1106884479522705
[Line 152] [Output:5553]: [PART] Workspace.NPCs.Edward KentonQ.Edward KentonQ.RightHand | Size: 0.5192210674285889, 0.5368251800537109, 0.5368160009384155
