[Line 1] heheh enjoy my tyler...
[Line 3] [Output:5553]: [PART] Workspace.Camera.WindPart | Size: 600, 150, 2
[Line 4] [Output:5553]: [PART] Workspace.Camera.SeaWind | Size: 1000, 1, 1000
[Line 5] [Output:5553]: [PART] Workspace.Camera.Sea.Sea.Ocean2 | Size: 1, 0.05000000074505806, 1
[Line 6] [Output:5553]: [PART] Workspace.Camera.Sea.Sea.Ocean3 | Size: 1, 0.05000000074505806, 1
[Line 7] [Output:5553]: [PART] Workspace.Camera.Sea.Sea.OceanPathfinder | Size: 1, 2048, 2048
[Line 8] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.SeafloorPiece | Size: 500, 1, 500
[Line 9] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 41, 1, 109
[Line 10] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 11] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 7, 54
[Line 12] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 13] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 14] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 15] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 16] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 17] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 18] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 24, 193
[Line 19] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 91, 8.132075309753418, 45.01886749267578
[Line 20] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.SeafloorPiece | Size: 500, 1, 500
[Line 21] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 22] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 23] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 24] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 35, 26, 63
[Line 25] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 39, 15, 85
[Line 26] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 27] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 24, 193
[Line 28] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 29] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 30] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 31] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 32] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 33] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 34] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 39, 15, 85
[Line 35] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 36] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.SeafloorPiece | Size: 500, 1, 500
[Line 37] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 7, 58
[Line 38] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 39] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 40] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 35, 26, 63
[Line 41] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 24, 193
[Line 42] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 43] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 44] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 45] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 46] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 24, 193
[Line 47] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 115, 1, 112
[Line 48] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 49] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 50] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 51] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 35, 26, 63
[Line 52] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 53] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 54] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 55] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 56] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 91, 8.132075309753418, 45.01886749267578
[Line 57] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 71, 18, 58
[Line 58] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 41, 1, 109
[Line 59] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 60] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 24, 193
[Line 61] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 91, 8.132075309753418, 45.01886749267578
[Line 62] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 71, 18, 58
[Line 63] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 7, 54
[Line 64] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 178, 1, 209
[Line 65] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 66] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 67] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 68] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 24, 193
[Line 69] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 35, 58
[Line 70] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 143, 14, 28
[Line 71] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 72] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 73] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 74] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 75] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 226, 12, 193
[Line 76] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 143, 14, 28
[Line 77] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 78] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 79] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 80] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 81] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 82] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 39, 15, 85
[Line 83] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 115, 1, 112
[Line 84] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 85] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 86] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 87] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 88] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 89] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 53, 7, 58
[Line 90] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 143, 14, 28
[Line 91] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 127, 12, 131
[Line 92] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Part | Size: 200, 1, 223
[Line 93] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 94] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 95] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
[Line 96] [Output:5553]: [PART] Workspace.Camera.Sea.SeafloorPiece.Kelp | Size: 3.816999912261963, 90, 8.564000129699707
